scenario_id,strategy_name,random_seed,swarm_size,uavs_destroyed,uavs_penetrated,penetration_rate,defense_cost,attack_cost,penetration_cost,total_cost,cost_exchange_ratio,kinetic_fired,de_fired,kinetic_hits,de_hits,kinetic_accuracy,de_accuracy,overall_accuracy,steps,termination_reason,timestamp,simulation_completed,total_shots_fired,miss_penalty_cost,total_hits
0,RL_Agent,1608637542,141,94,47,0.3333333333333333,1500000.0,4935000.0,218936788.24387574,434872891.73896825,88.1201401700037,0,150,0,101,,0.6733333333333333,0.6733333333333333,200,all_uavs_neutralized,2026-02-22T12:47:52.778591,True,150,214436103.4950925,101
1,RL_Agent,1273642419,274,99,175,0.6386861313868614,1500000.0,9590000.0,800361395.6148947,1057661079.2320982,110.28791232868595,0,150,0,99,,0.66,0.66,200,all_uavs_neutralized,2026-02-22T12:47:52.839687,True,150,255799683.61720344,99
2,RL_Agent,1935803228,442,95,347,0.7850678733031674,1500000.0,15470000.0,1684671183.8000853,1925715600.2189736,124.48064642656584,0,150,0,95,,0.6333333333333333,0.6333333333333333,200,all_uavs_neutralized,2026-02-22T12:47:52.928687,True,150,239544416.4188883,95
3,RL_Agent,787846414,388,98,290,0.7474226804123711,1500000.0,13580000.0,1314940389.4389865,1577284955.826966,116.14764034071915,0,150,0,98,,0.6533333333333333,0.6533333333333333,200,all_uavs_neutralized,2026-02-22T12:47:53.006757,True,150,260844566.38797948,98
4,RL_Agent,996406378,337,104,233,0.6913946587537092,1500000.0,11795000.0,1131572635.1976857,1327451445.1355143,112.5435731356943,0,150,0,104,,0.6933333333333334,0.6933333333333334,200,all_uavs_neutralized,2026-02-22T12:47:53.075025,True,150,194378809.93782848,104
5,RL_Agent,1201263687,313,100,213,0.6805111821086262,1500000.0,10955000.0,1032193711.4294348,1255466039.2478855,114.60210308059202,0,150,0,100,,0.6666666666666666,0.6666666666666666,200,all_uavs_neutralized,2026-02-22T12:47:53.137656,True,150,221772327.81845078,100
6,RL_Agent,423734972,240,116,124,0.5166666666666667,1500000.0,8400000.0,571754061.1065391,732899244.7505198,87.2499100893476,0,150,0,116,,0.7733333333333333,0.7733333333333333,200,all_uavs_neutralized,2026-02-22T12:47:53.191348,True,150,159645183.64398056,116
7,RL_Agent,415968276,111,81,30,0.2702702702702703,1500000.0,3885000.0,147432928.20919484,278776280.2387271,71.75708629053464,0,150,0,113,,0.7533333333333333,0.7533333333333333,200,all_uavs_neutralized,2026-02-22T12:47:53.262445,True,150,129843352.02953222,113
8,RL_Agent,670094950,268,108,160,0.5970149253731343,1500000.0,9380000.0,791544142.1221075,999485975.0190442,106.5550079977659,0,150,0,108,,0.72,0.72,200,all_uavs_neutralized,2026-02-22T12:47:53.347071,True,150,206441832.89693663,108
9,RL_Agent,1914837113,236,98,138,0.5847457627118644,1500000.0,8260000.0,694244047.39115,936884905.4195108,113.42432269001343,0,150,0,98,,0.6533333333333333,0.6533333333333333,200,all_uavs_neutralized,2026-02-22T12:47:53.418089,True,150,241140858.0283609,98
10,RL_Agent,669991378,215,101,114,0.5302325581395348,1500000.0,7525000.0,561634564.5017937,798121298.1356593,106.06263098148297,0,150,0,101,,0.6733333333333333,0.6733333333333333,200,all_uavs_neutralized,2026-02-22T12:47:53.487614,True,150,234986733.63386562,101
11,RL_Agent,429389014,264,113,151,0.571969696969697,1500000.0,9240000.0,727795644.4476517,925955985.6341683,100.21168675694462,0,150,0,113,,0.7533333333333333,0.7533333333333333,200,all_uavs_neutralized,2026-02-22T12:47:53.562106,True,150,196660341.1865165,113
12,RL_Agent,249467210,141,102,39,0.2765957446808511,1500000.0,4935000.0,175413781.17741203,356963111.2822617,72.33295061444007,0,150,0,106,,0.7066666666666667,0.7066666666666667,200,all_uavs_neutralized,2026-02-22T12:47:53.644852,True,150,180049330.1048497,106
