scenario_id,strategy_name,random_seed,swarm_size,uavs_destroyed,uavs_penetrated,penetration_rate,defense_cost,attack_cost,penetration_cost,total_cost,cost_exchange_ratio,kinetic_fired,de_fired,kinetic_hits,de_hits,kinetic_accuracy,de_accuracy,overall_accuracy,steps,termination_reason,timestamp,simulation_completed,total_shots_fired,miss_penalty_cost,total_hits
0,DE_First,1608637542,141,94,47,0.3333333333333333,51500000.0,4935000.0,247943545.85415396,513879649.3492465,104.1296148630692,50,150,44,101,0.88,0.6733333333333333,0.725,200,all_uavs_neutralized,2026-02-22T12:57:08.453577,True,200,214436103.4950925,145
1,DE_First,1273642419,274,144,130,0.4744525547445255,51500000.0,9590000.0,597587781.8468698,927822597.58355,96.74896742268508,50,150,45,99,0.9,0.66,0.72,200,all_uavs_neutralized,2026-02-22T12:57:08.462248,True,200,278734815.73668015,144
2,DE_First,1935803228,442,143,299,0.6764705882352942,51500000.0,15470000.0,1508574246.3434749,1804524238.6195226,116.64668640074483,50,150,48,95,0.96,0.6333333333333333,0.715,200,all_uavs_neutralized,2026-02-22T12:57:08.473115,True,200,244449992.27604762,143
3,DE_First,787846414,388,143,245,0.6314432989690721,51500000.0,13580000.0,1115400631.1769137,1449936967.0126727,106.77002702597001,50,150,45,98,0.9,0.6533333333333333,0.715,200,all_uavs_neutralized,2026-02-22T12:57:08.483339,True,200,283036335.8357589,143
4,DE_First,996406378,337,149,188,0.5578635014836796,51500000.0,11795000.0,891593932.8752024,1154936038.0120242,97.917425859434,50,150,45,104,0.9,0.6933333333333334,0.745,200,all_uavs_neutralized,2026-02-22T12:57:08.493352,True,200,211842105.13682184,149
5,DE_First,1201263687,313,148,165,0.5271565495207667,51500000.0,10955000.0,791168761.3920505,1072609016.0520378,97.91045331374147,50,150,48,100,0.96,0.6666666666666666,0.74,200,all_uavs_neutralized,2026-02-22T12:57:08.503301,True,200,229940254.65998733,148
6,DE_First,423734972,240,164,76,0.31666666666666665,51500000.0,8400000.0,356476116.9276239,581891111.1917129,69.27275133234677,50,150,48,116,0.96,0.7733333333333333,0.82,200,all_uavs_neutralized,2026-02-22T12:57:08.511556,True,200,173914994.26408887,164
7,DE_First,415968276,111,81,30,0.2702702702702703,51500000.0,3885000.0,160144298.68445766,341487650.71398985,87.89900919279017,50,150,46,113,0.92,0.7533333333333333,0.795,200,all_uavs_neutralized,2026-02-22T12:57:08.520158,True,200,129843352.02953222,159
8,DE_First,670094950,268,151,117,0.43656716417910446,51500000.0,9380000.0,529175028.36615366,810659729.9956342,86.42427825113371,50,150,43,108,0.86,0.72,0.755,200,all_uavs_neutralized,2026-02-22T12:57:08.528685,True,200,229984701.62948045,151
9,DE_First,1914837113,236,141,95,0.4025423728813559,51500000.0,8260000.0,511163971.93996763,826505250.0252936,100.06116828393385,50,150,43,98,0.86,0.6533333333333333,0.705,200,all_uavs_neutralized,2026-02-22T12:57:08.538349,True,200,263841278.08532593,141
10,DE_First,669991378,215,146,69,0.3209302325581395,51500000.0,7525000.0,339639250.62585706,658758157.4513707,87.54261228589644,50,150,45,101,0.9,0.6733333333333333,0.73,200,all_uavs_neutralized,2026-02-22T12:57:08.546954,True,200,267618906.8255137,146
